PropCode,PropCodeDesc,,,,
1,Vacant Land,,,,
2,Residential,,,,
3A,Farm (Regular),,,,
3B,Farm (Qualified),,,,
4A,Commercial,,,,
4B,Industrial,,,,
4C,Apartment,,,,
5A,Class I Railroad Property,,,,
5B,Class II Railroad Property,,,,
6A,Personal Property Telephone,,,,
6B,"Machinery, Apparatus or Equipment of Petroleum Refineries",,,,
15A,Public School Property,,,,
15B,Other School Property,,,,
15C,Public Property,,,,
15D,Church & Charitable Property,,,,
15E,Cemetries & Graveyards,,,,
15F,Other Exempt,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,